trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
922,False,"{'a': 0.85, 'e': 0.15789161499998114}",25,0,37.52966673610346,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
923,False,"{'a': 0.85, 'e': 0.1575758317699812}",20,9,-14.2612765478085,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
924,False,"{'a': 0.85, 'e': 0.15726068010644123}",30,16,4.014434143005291,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
925,False,"{'a': 0.85, 'e': 0.15694615874622836}",20,12,17.92892786330465,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
926,False,"{'a': 0.85, 'e': 0.1566322664287359}",20,0,-38.825918330949186,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
927,False,"{'a': 0.85, 'e': 0.15631900189587844}",20,14,12.005435017543881,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
928,False,"{'a': 0.85, 'e': 0.1560063638920867}",25,12,22.25552743453887,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
929,False,"{'a': 0.85, 'e': 0.15569435116430252}",25,16,19.508121743905402,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
930,False,"{'a': 0.85, 'e': 0.15538296246197392}",25,11,14.501763434749527,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
931,False,"{'a': 0.85, 'e': 0.15507219653704996}",25,20,7.971090426434634,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
932,False,"{'a': 0.85, 'e': 0.15476205214397584}",20,7,13.697513056088793,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
933,False,"{'a': 0.85, 'e': 0.1544525280396879}",30,10,26.394357393269537,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
934,False,"{'a': 0.85, 'e': 0.1541436229836085}",20,0,30.059902233652707,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
935,False,"{'a': 0.85, 'e': 0.1538353357376413}",25,11,11.888907331315398,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
936,False,"{'a': 0.85, 'e': 0.15352766506616602}",25,10,-23.174725363426013,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
937,False,"{'a': 0.85, 'e': 0.15322060973603369}",25,15,19.112294941709305,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
938,False,"{'a': 0.85, 'e': 0.15291416851656162}",25,11,10.962950312184054,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
939,False,"{'a': 0.85, 'e': 0.15260834017952848}",20,9,-22.845745905639717,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
940,False,"{'a': 0.85, 'e': 0.15230312349916944}",25,14,7.391954211808909,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
941,False,"{'a': 0.85, 'e': 0.1519985172521711}",20,7,24.452258978712013,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
942,False,"{'a': 0.85, 'e': 0.15169452021766675}",25,0,-40.92644927602177,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
943,False,"{'a': 0.85, 'e': 0.1513911311772314}",20,11,-58.11359551687368,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
944,False,"{'a': 0.85, 'e': 0.15108834891487694}",25,8,11.561209468093644,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
945,False,"{'a': 0.85, 'e': 0.15078617221704718}",20,10,21.581215404009463,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
946,False,"{'a': 0.85, 'e': 0.1504845998726131}",35,24,-4.898616073521511,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
947,False,"{'a': 0.85, 'e': 0.15018363067286786}",20,12,14.649323645184653,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
948,False,"{'a': 0.85, 'e': 0.1498832634115221}",20,9,13.384658673529588,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
949,False,"{'a': 0.85, 'e': 0.14958349688469907}",20,16,7.708140934423447,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
950,False,"{'a': 0.85, 'e': 0.14928432989092968}",25,0,1.7028281273567707,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
951,False,"{'a': 0.85, 'e': 0.14898576123114782}",20,0,-12.373398955884545,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
952,False,"{'a': 0.85, 'e': 0.1486877897086855}",25,15,17.970195216990227,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
953,False,"{'a': 0.85, 'e': 0.14839041412926815}",20,3,14.337017911167985,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
954,False,"{'a': 0.85, 'e': 0.1480936333010096}",20,0,-2.3797729921772377,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
955,False,"{'a': 0.85, 'e': 0.1477974460344076}",25,17,12.610675408606378,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
956,False,"{'a': 0.85, 'e': 0.14750185114233877}",20,10,18.45082858312088,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
957,False,"{'a': 0.85, 'e': 0.14720684744005408}",25,0,6.552970854307013,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
958,False,"{'a': 0.85, 'e': 0.14691243374517396}",30,22,14.437433623678292,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
959,False,"{'a': 0.85, 'e': 0.1466186088776836}",20,9,1.3317467558900473,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
960,False,"{'a': 0.85, 'e': 0.14632537165992823}",20,0,32.23757329539858,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
961,False,"{'a': 0.85, 'e': 0.14603272091660838}",20,7,21.61993413295557,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
962,False,"{'a': 0.85, 'e': 0.14574065547477516}",30,18,20.661996269608096,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
963,False,"{'a': 0.85, 'e': 0.1454491741638256}",25,11,26.942485069715737,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
964,False,"{'a': 0.85, 'e': 0.14515827581549795}",25,0,12.09696604537132,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
965,False,"{'a': 0.85, 'e': 0.14486795926386695}",20,0,-28.63875098889574,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
966,False,"{'a': 0.85, 'e': 0.1445782233453392}",20,8,0.9152166036370097,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
967,False,"{'a': 0.85, 'e': 0.14428906689864854}",25,14,-1.0251165812385028,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
968,False,"{'a': 0.85, 'e': 0.14400048876485125}",20,4,25.270961636238546,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
969,False,"{'a': 0.85, 'e': 0.14371248778732154}",25,0,12.093382252455791,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
970,False,"{'a': 0.85, 'e': 0.14342506281174688}",20,13,11.446052597399916,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
971,False,"{'a': 0.85, 'e': 0.1431382126861234}",30,0,4.2318285447045865,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
972,False,"{'a': 0.85, 'e': 0.14285193626075116}",30,12,29.939144273255064,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
973,False,"{'a': 0.85, 'e': 0.14256623238822966}",20,0,7.235923347536211,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
974,False,"{'a': 0.85, 'e': 0.1422810999234532}",25,3,31.320211527287377,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
975,False,"{'a': 0.85, 'e': 0.1419965377236063}",30,13,5.525799505374221,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
976,False,"{'a': 0.85, 'e': 0.14171254464815908}",30,17,-19.760883377665593,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
977,False,"{'a': 0.85, 'e': 0.14142911955886275}",20,0,13.526625698922942,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
978,False,"{'a': 0.85, 'e': 0.14114626131974503}",20,11,9.140248100246955,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
979,False,"{'a': 0.85, 'e': 0.14086396879710555}",20,9,7.682565979567451,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
980,False,"{'a': 0.85, 'e': 0.14058224085951135}",25,0,0.449807438308383,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
981,False,"{'a': 0.85, 'e': 0.14030107637779232}",30,9,22.855234987300705,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
982,False,"{'a': 0.85, 'e': 0.14002047422503675}",25,8,-34.33140917007046,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
983,False,"{'a': 0.85, 'e': 0.13974043327658667}",20,1,27.261989173645883,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
984,False,"{'a': 0.85, 'e': 0.1394609524100335}",35,21,25.505313230887193,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
985,False,"{'a': 0.85, 'e': 0.13918203050521344}",30,17,14.828745046709642,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
986,False,"{'a': 0.85, 'e': 0.13890366644420302}",20,13,-0.8376649818455824,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
987,False,"{'a': 0.85, 'e': 0.13862585911131461}",20,13,11.58167748928311,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
988,False,"{'a': 0.85, 'e': 0.138348607393092}",20,4,24.95612802798082,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
989,False,"{'a': 0.85, 'e': 0.1380719101783058}",20,0,10.15969254956602,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
990,False,"{'a': 0.85, 'e': 0.13779576635794918}",30,5,30.33174948125471,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
991,False,"{'a': 0.85, 'e': 0.1375201748252333}",20,7,24.83280091326946,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
992,False,"{'a': 0.85, 'e': 0.13724513447558281}",20,0,31.751996161216095,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
993,False,"{'a': 0.85, 'e': 0.13697064420663166}",25,11,23.377621835604067,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
994,False,"{'a': 0.85, 'e': 0.1366967029182184}",20,9,-22.38667941922857,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
995,False,"{'a': 0.85, 'e': 0.13642330951238196}",20,14,-12.310221089488921,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
996,False,"{'a': 0.85, 'e': 0.1361504628933572}",30,20,-26.455326462180487,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
997,False,"{'a': 0.85, 'e': 0.13587816196757047}",20,7,-29.428488241120505,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
998,False,"{'a': 0.85, 'e': 0.13560640564363532}",20,0,29.311993803693625,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
999,False,"{'a': 0.85, 'e': 0.13533519283234804}",20,10,20.20949839080504,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
