trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.5, 'e': 0.7514768435208588}",25,0,-45.687906152862745,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.7477194593032545}",20,0,-89.91580721628029,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.7439808620067382}",30,0,-181.59085834750078,"{0: 18, 1: 1, 2: 6, 3: 3, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.7402609576967045}",20,0,-14.33024153457285,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.736559652908221}",20,4,-51.33175827345782,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.7328768546436799}",30,0,-130.60041989665555,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
63,False,"{'a': 0.5, 'e': 0.7292124703704616}",30,19,-16.75686987912965,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.7255664080186093}",20,0,-90.91491903404994,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.7219385759785162}",20,13,1.5415821227501088,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.7183288830986236}",25,0,-101.7191786590971,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.7147372386831305}",25,0,-123.23397310597328,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.7111635524897149}",25,0,-99.28943918055563,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.7076077347272662}",20,11,-28.53053658725265,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.7040696960536299}",20,0,-72.75151916758459,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.7005493475733617}",25,0,-9.01103067392903,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.697046600835495}",30,0,-135.37550830232294,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.6935613678313175}",20,0,-123.79915675691238,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.6900935609921609}",25,0,-107.50784450997813,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.6866430931872001}",25,0,-108.23644014994481,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.6832098777212641}",20,11,-17.872497339449914,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.6797938283326578}",30,0,-94.00220205581542,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.6763948591909945}",30,0,-112.90075394190191,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.6730128848950395}",25,0,-70.08882990705024,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.6696478204705644}",30,0,-39.00067005430068,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.6662995813682115}",20,0,-143.41262132787014,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
82,False,"{'a': 0.5, 'e': 0.6629680834613705}",30,0,-60.47807985620547,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.6596532430440636}",20,0,-42.36900655910912,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.6563549768288433}",25,0,-90.01469512206593,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.653073201944699}",25,0,-44.39850537716861,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.6498078359349755}",20,0,-92.76253793735356,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.6465587967553006}",20,0,-171.75760475104792,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
88,False,"{'a': 0.5, 'e': 0.6433260027715241}",25,0,-75.28333371883393,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.6401093727576664}",30,12,-22.733498202722647,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.6369088258938781}",20,0,-63.08883918415209,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.6337242817644086}",20,0,-2.396198278439254,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.6305556603555866}",20,0,-80.61594988964177,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.6274028820538087}",20,0,-43.87052086778581,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.6242658676435396}",20,0,-135.7300225081273,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.6211445383053219}",30,0,-16.0639785133012,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.6180388156137953}",30,21,-23.520414919697863,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.6149486215357263}",20,13,-31.529619828623723,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.6118738784280476}",25,0,-43.76471530417906,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.6088145090359074}",25,0,-0.050932134793871375,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.6057704364907278}",25,0,-52.74343972511134,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.6027415843082742}",30,0,-63.64910876317256,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.5997278763867329}",25,14,-16.351536270401034,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.5967292370047992}",25,0,-52.374567843136276,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.5937455908197752}",20,8,-36.58933949341246,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.5907768628656763}",35,0,-69.65797168407035,"{0: 27, 1: 2, 2: 4, 3: 1, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.5878229785513479}",35,14,-68.98661178794778,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.5848838636585911}",20,0,11.721382765801925,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.5819594443402982}",25,11,-29.0206518961134,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
